ar_name,en_name,gender,family,religious_association,first_name_count,second_name_count,third_name_count,fourth_name_count,fifth_name_count,sixth_name_count,overall_count,muslim_first_name_count,muslim_second_name_count,muslim_third_name_count,muslim_fourth_name_count,muslim_fifth_name_count,muslim_sixth_name_count,muslim_overall_count,christian_first_name_count,christian_second_name_count,christian_third_name_count,christian_fourth_name_count,christian_fifth_name_count,christian_sixth_name_count,christian_overall_count
محمد,Mohamed,male,True,"Christian, Muslim, neutral",56664,108821,109694,106819,39057,1586,422641,56661,108736,109533,106644,39001,1586,422161,1,16,30,50,15,0,112
احمد,Ahmed,male,True,"Christian, Muslim, neutral",37453,52898,39991,45957,18361,2241,196901,37431,52783,39900,45837,18301,2235,196487,1,12,13,17,14,2,59
محمود,Mahmoud,male,True,"Christian, Muslim, neutral",13983,24499,24586,24386,6230,297,93981,13979,24477,24544,24340,6219,296,93855,0,7,7,12,2,0,28
ابراهيم,Ibrahim,male,True,"Christian, Muslim, neutral",4857,15009,22859,26503,14261,833,84322,4824,14638,22224,25696,13856,818,82056,24,305,541,683,356,11,1920
على,Ali,male,True,"Christian, Muslim, neutral",5010,10913,19776,28268,15289,1045,80301,5008,10894,19743,28204,15261,1043,80153,0,7,6,13,3,0,29
السيد,El-Sayed,male,True,"Christian, Muslim, neutral",1393,14502,23701,21457,10943,625,72621,1393,14494,23656,21418,10899,616,72476,0,4,25,23,29,8,89
حسن,Hassan,male,True,"Christian, Muslim, neutral",2531,9490,14986,18275,10850,827,56959,2531,9468,14950,18231,10823,827,56830,0,3,8,5,8,0,24
مصطفى,Mostafa,male,True,"Christian, Muslim, neutral",9343,11775,10418,8393,4748,326,45003,9339,11766,10401,8383,4734,325,44948,1,0,5,3,2,1,12
يوسف,Youssef,male,True,"Christian, Muslim, neutral",22940,2480,4520,5485,3823,427,39675,22089,2071,3916,4882,3502,423,36883,646,369,538,534,289,4,2380
سيد,Sayed,male,True,"Christian, Muslim, neutral",660,7391,10442,8133,3084,253,29963,660,7370,10396,8099,3074,252,29851,0,8,16,14,6,0,44
حسين,Hussein,male,True,"Christian, Muslim, neutral",1228,5282,7490,9278,4922,345,28545,1228,5280,7475,9267,4916,345,28511,0,0,3,2,3,0,8
عبدالله,Abdallah,male,True,"Christian, Muslim, neutral",5718,2865,6397,5458,2537,212,23187,5717,2851,6295,5332,2504,212,22911,1,14,94,117,33,0,259
مريم,Maryam,female,True,"Christian, Muslim, neutral",22682,0,1,1,4,0,22688,20703,0,1,0,2,0,20706,1725,0,0,1,2,0,1728
عبدالرحمن,Abdelrahman,male,True,"Christian, Muslim, neutral",11588,1508,3464,3955,1600,89,22204,11586,1508,3464,3954,1600,89,22201,1,0,0,0,0,0,1
