name_ar,name_en,gender,religion,role,frequency_class,corpus_share_pct,slot1_pct,slot2_pct,slot3_pct,slot4_pct,slot5_pct,slot6_pct,slot7_pct,slot8_pct,tashkeel,meaning_ar,meaning_en,ar_variants,en_variants,data_version
محمد,Mohamed,m,m,g,c,12.566813,13.02,25.92,25.26,24.67,10.61,0.5,0.02,0.0,مُحَمَّد,المحمود؛ كثير الخصال المحمودة (من الجذر ح م د),The praised one; frequently praised (from ḥ-m-d,محمد,Mohamed|Mohammad|Muhammad|Mohammed,v0.1.x
أحمد,Ahmed,m,m,g,c,6.188099,18.0,27.55,19.52,22.77,10.59,1.41,0.15,0.01,أَحْمَد,الأجدر بالحمد؛ الأكثر حمدًا,The most praiseworthy,أحمد|آحمد|اجمد|احمد,Ahmed|Ahmad,v0.1.x
علي,Ali,m,m,g,c,2.810652,6.12,12.88,23.6,33.83,21.72,1.77,0.08,0.01,عَلِي,المرتفع؛ الرفيع الشأن,High; exalted,علي|على,Ali|Aly,v0.1.x
محمود,Mahmoud,m,m,g,c,2.755888,13.74,26.57,25.61,25.71,7.93,0.43,0.02,0.0,مَحْمُود,الذي يُحمَد؛ المحمود,Praiseworthy; the praised,محمود,Mahmoud|Mahmud|Mahmood,v0.1.x
إبراهيم,Ibrahim,m,n,g,c,2.572412,5.46,17.3,26.09,31.05,18.8,1.24,0.06,0.0,إِبْرَاهِيم,اسم علم توراتي/قرآني للنبي إبراهيم,Abraham; the Biblical/Qur'anic prophet's name,إبراهيم|أبراهيم|إبرهيم|إيراهيم|ابرااهيم|ابراهبم|ابراهم|ابراهيم|ابرهيم|ايراهيم,Ibrahim|Ebrahim|Ibraheem,v0.1.x
السيد,Elsayed,m,n,g,c,2.199629,1.85,19.45,31.95,29.34,16.26,1.1,0.04,0.0,السَّيِّد,لقب يعني الشريف أو المولى؛ السيد,The master; the lord (honorific given/family name,السيد|االسيد,Elsayed|El-Sayed|Alsayed|Sayed,v0.1.x
حسن,Hassan,m,m,g,c,1.689559,4.05,15.72,25.39,31.57,21.36,1.84,0.07,0.0,حَسَن,الجميل؛ الحَسَن,Handsome; good,حسن,Hassan|Hasan,v0.1.x
مصطفى,Mostafa,m,m,g,c,1.447441,19.22,26.17,23.03,18.85,11.68,0.98,0.05,0.0,مُصْطَفَى,المصطفى؛ المختار,The chosen one,مصطفى|مصصفى|مصططفى|مصططفي|مصطف|مصطفئ|مصطفىى|مصطفي|مصطقى|مصطىفى|مصظفى,Mostafa|Mustafa|Moustafa,v0.1.x
يوسف,Youssef,m,n,g,c,1.206222,58.47,5.78,10.7,13.46,10.31,1.23,0.06,0.0,يُوسُف,اسم علم توراتي/قرآني للنبي يوسف,Joseph; the Biblical/Qur'anic prophet's name,يوسف|يوسق,Youssef|Yousef|Yusuf|Joseph,v0.1.x
عبدالله,Abdullah,m,m,g,c,1.093915,22.28,11.94,26.23,24.45,13.67,1.37,0.06,0.0,عَبْدُاللَّه,عبد الله,Servant of God,عبدالله|عباله|عبدااللاه|عبداالله|عبدالالاه|عبدالاه|عبداللا|عبداللاة|عبداللاه|عبداللة|عبداللع|عبدلله,Abdullah|Abdallah|Abd Allah,v0.1.x
