name_token,occurrence_count,frequency_share_pct
محمد,873333,12.532810743626957
احمد,403622,5.792198551943187
محمود,192591,2.7637871853300617
ابراهيم,174774,2.508103398024187
على,167923,2.409787765379379
السيد,152267,2.1851155212271216
حسن,117367,1.6842812518790253
مصطفى,92474,1.327052957699021
يوسف,83350,1.1961185200620001
سيد,60307,0.8654387473230839
حسين,58137,0.834298049200294
عبدالله,48318,0.6933899778327022
مريم,46829,0.6720220057106587
عبدالرحمن,45224,0.6489893695414984
عمر,43702,0.6271478291991545
اسماعيل,38951,0.558968356028014
خالد,38294,0.5495400432783951
سعيد,37356,0.5360792253801568
سعد,31523,0.45237245480401234
رمضان,31361,0.45004766535890084
عبدالحميد,30446,0.43691691015965994
سليمان,30318,0.43508003948697926
شهد,30154,0.4327265489376071
ملك,29756,0.4270150291897406
اشرف,28993,0.416065557914308
عبدالعزيز,27797,0.39890229756644774
أحمد,26762,0.38404947611156864
علي,26579,0.38142332507172044
فتحى,24802,0.3559223939361455
عبد الرحمن,24057,0.34523123259905864
ايمن,23349,0.33507104169079355
عادل,23318,0.3346261745747537
عبد الله,22351,0.32074919066473623
صلاح,22141,0.31773557471736946
حامد,22118,0.31740551201837214
عبده,21927,0.3146645565614814
جمال,21756,0.31221061214719703
ياسر,21724,0.3117513944790269
عمرو,21497,0.3084938191454447
عطيه,21411,0.3072596716622374
حبيبه,21321,0.30596812197050877
سالم,21079,0.3024952883549718
عبدالفتاح,20660,0.2964824070123686
شعبان,19994,0.2869249392935769
هانى,19567,0.2807972535339311
وليد,19476,0.27949135329007213
زياد,19420,0.2786877223707743
صالح,18650,0.2676377972304295
ندى,18532,0.26594443207905205
خليل,18338,0.26316042496577036
رضا,18099,0.25973064300662435
رجب,18084,0.25951538472466956
كامل,17750,0.25472230031314336
عيد,17685,0.25378951442467274
عبد الحميد,17401,0.24971395761966245
طه,16956,0.24332796192167097
عوض,16897,0.24248127934598218
عثمان,16812,0.24126148241490514
عماد,16454,0.23612398475225133
حمدى,16296,0.23385659751566112
سمير,16221,0.23278030610588726
كمال,16161,0.2319192729780682
سلمى,15929,0.2285899448838344
طارق,15926,0.22854689322744348
فاطمه,15897,0.22813072721566424
عبد العزيز,15623,0.22419867593195714
منصور,15597,0.22382556157656885
عبدالمنعم,15049,0.21596145900915467
ساره,15029,0.2156744479665483
فرج,14833,0.21286173974900596
امين,14776,0.21204375827757782
اسامه,14639,0.21007773263572427
عصام,14515,0.20829826417156486
موسى,14432,0.20710716834474846
منه الله,14424,0.20699236392770592
السعيد,14023,0.20123779252344845
صابر,13897,0.19942962295502836
اسماء,13894,0.19938657129863743
شريف,13723,0.19693262688435306
ايه,13559,0.19457913633498092
جمعه,13482,0.19347414382094644
روان,13250,0.19014481572671268
وائل,13184,0.1891976792861117
شحاته,13122,0.18830794505403198
هاجر,12865,0.18461985315654025
بسمله,12851,0.18441894542671583
اسراء,12819,0.18395972775854563
علاء,12750,0.18296953966155372
ايمان,12720,0.18253902309764417
ياسمين,12700,0.1822520120550378
هشام,12661,0.1816923405219554
حنين,12523,0.17971196432797154
عباس,12466,0.17889398285654343
منه,12435,0.17844911574050357
كريم,12412,0.17811905304150624
جنى,12213,0.17526329316757297
عبدالسلام,12144,0.17427310507058105
عاطف,12109,0.17377083574601992
مجدى,12012,0.17237883218937908
رحمه,11756,0.1687050908440177
فوزى,11558,0.16586368152221473
عبد الفتاح,11184,0.16049657502547582
فؤاد,11154,0.16006605846156627
عبداللطيف,11042,0.15845879662297066
سلامه,10895,0.15634926545981392
توفيق,10866,0.1559330994480347
نور,10789,0.15482810693400023
عبدالعال,10772,0.15458414754778482
سامح,10618,0.15237416251971586
جابر,10573,0.15172838767385155
الاء,10547,0.1513552733184633
ايهاب,10371,0.14882957614352732
متولى,10321,0.14811204853701143
نورهان,10225,0.1467343955325009
سامى,10110,0.14508408203751436
تامر,10029,0.1439216873149586
ربيع,9959,0.14291714866583635
ناصر,9943,0.14268753983175125
فاروق,9921,0.14237182768488427
رزق,9847,0.14130988682724074
اسلام,9813,0.14082196805480993
حسام,9695,0.1391286029034324
عبدالعظيم,9603,0.13780835210744316
مرسى,9480,0.13604323419541406
زكى,9304,0.13351753702047808
نصر,9288,0.133287928186393
عبدالحليم,9149,0.1312932014402788
عبدالوهاب,9105,0.13066177714654484
سليم,8945,0.12836568880569396
نبيل,8941,0.1283082865971727
عبدالمجيد,8908,0.12783471837687221
شروق,8726,0.12522291788915432
عبدالرحيم,8673,0.12446233862624748
سما,8632,0.12387396598890445
عبدالقادر,8573,0.12302728341321567
ممدوح,8517,0.12222365249391787
عيسى,8488,0.12180748648213865
عزت,8302,0.11913828378589952
صبحى,8242,0.11827725065808045
عبد المنعم,8189,0.11751667139517359
جاد,8065,0.11573720293101417
صبرى,8005,0.1148761698031951
انور,7984,0.11457480820845842
ماهر,7921,0.1136707234242484
عامر,7842,0.11253702980595327
حماده,7820,0.11222131765908627
مصطفي,7737,0.11103022183226988
مسعد,7634,0.10955211496284714
هنا,7416,0.10642369459843784
حلمى,7342,0.1053617537407943
يحيى,7301,0.10477338110345127
فهمى,7299,0.10474467999919063
حافظ,7174,0.10295086098290089
عبد السلام,7170,0.10289345877437961
حسنى,7151,0.10262079828390358
شيماء,7108,0.1020037245422999
عبدالرازق,7098,0.10186021902099673
جلال,7095,0.10181716736460578
حسانين,7081,0.10161625963478133
فارس,7032,0.10091308258039573
عبد اللطيف,7032,0.10091308258039573
مروان,7014,0.10065477264205001
خليفه,7009,0.10058301988139842
عبدالغنى,6941,0.09960718233653681
هاشم,6906,0.09910491301197567
مى,6895,0.09894705693854217
عبدالجواد,6823,0.09791381718515929
يونس,6728,0.09655051473277909
امام,6721,0.09645006086786687
جرجس,6707,0.09624915313804241
عبد العال,6685,0.09593344099117541
خلف,6655,0.09550292442726588
خميس,6420,0.09213054467664115
زكريا,6401,0.09185788418616513
عمار,6280,0.09012146737839664
زينب,6260,0.08983445633579029
بدر,6199,0.0889590726558409
محسن,6149,0.08824154504932501
ادهم,6044,0.08673473707564162
بدوى,6030,0.08653382934581716
حازم,5969,0.08565844566586778
مازن,5965,0.08560104345734651
مختار,5953,0.08542883683178269
رضوان,5933,0.08514182578917633
اميره,5915,0.08488351585083061
عبدالهادى,5827,0.08362066726336262
شوقى,5796,0.08317580014732277
رشاد,5684,0.08156853830872715
بيومى,5609,0.0804922468989533
عبد الرحيم,5588,0.08019088530421664
حسنين,5556,0.07973166763604647
عبدالنبى,5552,0.07967426542752519
ياسين,5519,0.0792006972072247
بسنت,5491,0.0787988817475758
سيف,5465,0.07842576739218754
فرح,5418,0.07775129144206258
محروس,5417,0.07773694088993227
عبدالكريم,5378,0.07717726935684988
رنا,5345,0.07670370113654938
رفعت,5327,0.07644539119820365
الدسوقى,5289,0.07590007021725158
عبدالمقصود,5207,0.0747233249425655
عبد الوهاب,5181,0.07435021058717724
مبروك,5181,0.07435021058717724
قطب,5153,0.07394839512752834
عبد القادر,5124,0.07353222911574912
عبد المجيد,5120,0.07347482690722784
الشحات,5111,0.07334567193805498
معوض,5088,0.07301560923905767
مدحت,5067,0.072714247644321
منار,4953,0.07107828470146474
ابوزيد,4946,0.07097783083655251
طلعت,4938,0.07086302641950998
قاسم,4932,0.07077692310672806
عبد الحليم,4802,0.06891135132978674
صادق,4793,0.06878219636061388
غريب,4763,0.06835167979670434
دنيا,4729,0.06786376102427354
بسيونى,4714,0.06764850274231876
كيرلس,4693,0.06734714114758208
