canonical_ar,english,frequency_class,corpus_share_pct,slot1_person_pct,slot2_father_pct,slot3_grandfather_pct,slot4_ancestor_pct,slot5_family_pct,slot6_clan_pct
محمد,Mohamed,c,12.566813,13.02,25.92,25.26,24.67,10.61,0.5
أحمد,Ahmed,c,6.188099,18.0,27.55,19.52,22.77,10.59,1.41
علي,Ali,c,2.810652,6.12,12.88,23.6,33.83,21.72,1.77
محمود,Mahmoud,c,2.755888,13.74,26.57,25.61,25.71,7.93,0.43
إبراهيم,Ibrahim,c,2.572412,5.46,17.3,26.09,31.05,18.8,1.24
السيد,Elsayed,c,2.199629,1.85,19.45,31.95,29.34,16.26,1.1
حسن,Hassan,c,1.689559,4.05,15.72,25.39,31.57,21.36,1.84
مصطفى,Mostafa,c,1.447441,19.22,26.17,23.03,18.85,11.68,0.98
يوسف,Youssef,c,1.206222,58.47,5.78,10.7,13.46,10.31,1.23
عبدالله,Abdullah,c,1.093915,22.28,11.94,26.23,24.45,13.67,1.37
عبدالرحمن,Abdelrahman,c,0.979609,50.06,6.82,14.95,18.26,9.25,0.63
سيد,Sayed,c,0.85811,1.99,23.24,34.36,26.9,12.33,1.13
حسين,Hussein,c,0.834811,4.12,17.58,25.33,31.88,19.41,1.6
عبدالحميد,Abdelhamid,c,0.686778,2.41,11.44,34.46,42.5,8.83,0.34
مريم,Maryam,c,0.666867,99.98,0.0,0.0,0.0,0.01,0.0
عمر,Omar,c,0.640489,62.58,11.28,8.25,8.28,8.15,1.37
عبدالعزيز,Abdelaziz,c,0.623358,3.64,10.93,34.06,40.88,10.05,0.43
إسماعيل,Ismail,c,0.570974,2.87,13.66,25.21,32.93,23.25,1.99
سعيد,Saeed,c,0.538237,4.95,32.96,40.96,13.18,6.98,0.92
خالد,Khaled,c,0.53058,17.95,75.58,2.41,2.42,1.45,0.16
ملك,Malak,c,0.49124,98.49,0.04,0.22,1.06,0.18,0.0
عبدالفتاح,Abdelfattah,c,0.458031,1.87,10.89,41.31,35.72,9.63,0.55
سعد,Saad,c,0.456378,3.28,19.71,43.01,21.24,11.26,1.44
